t,accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,label,dt,dt_seconds,session_break,session_id
0 days 00:00:57.838720972,-0.834999975,5.254999850000001,8.4,0.0,-0.41000000000000003,0.14,STANDING,0 days 00:00:00,0.0,False,0
0 days 00:00:57.858720972,-0.87,5.4,8.67,0.0,-0.41000000000000003,0.14,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.878720972,-1.2371428285714285,5.412857142857143,8.914285714285715,-0.15285712857142858,-0.19428571428571428,0.03285714285714286,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.898720972,-1.604285657142857,5.425714285714286,9.15857142857143,-0.30571425714285716,0.021428571428571463,-0.07428571428571429,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.918720972,-1.9714284857142856,5.438571428571429,9.402857142857144,-0.45857138571428574,0.2371428571428572,-0.18142857142857144,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.938720972,-2.3385713142857143,5.451428571428572,9.647142857142857,-0.6114285142857143,0.45285714285714296,-0.2885714285714286,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.958720972,-2.7057141428571425,5.464285714285714,9.891428571428571,-0.7642856428571428,0.6685714285714287,-0.3957142857142857,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.978720972,-3.072856971428571,5.477142857142858,10.135714285714286,-0.9171427714285715,0.8842857142857145,-0.5028571428571429,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:57.998720972,-3.4399998,5.49,10.38,-1.0699999,1.1,-0.61,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.018720972,-2.98999982,5.17999996,10.312000000000001,-0.54399992,0.81,-0.23599999999999993,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.038720972,-2.53999984,4.86999992,10.244,-0.017999939999999937,0.52,0.13800000000000012,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.058720972,-2.08999986,4.55999988,10.176,0.50800004,0.22999999999999998,0.5120000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.078720972,-1.6399998800000002,4.24999984,10.107999999999999,1.0340000200000001,-0.06000000000000005,0.8860000000000002,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.098720972,-1.1899999,3.9399998,10.04,1.56,-0.35000000000000003,1.26,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.118720972,-0.5249999500000001,4.25999985,9.802499999999998,1.4500000000000002,-0.6125,0.96,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.138720972,0.1399999999999999,4.5799999,9.565,1.34,-0.875,0.66,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.158720972,0.80499995,4.89999995,9.3275,1.23,-1.1375,0.3600000000000001,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.178720972,1.4699999,5.22,9.09,1.12,-1.4,0.06,STANDING,0 days 00:00:00.020000,0.02,False,0
0 days 00:00:58.198720972,-1.17000005,4.92,9.015,0.665,0.009999999999999787,-0.69999995,STANDING,0 days 00:00:00.020000,0.02,False,0
