accelerometerX,accelerometerY,accelerometerZ,gyroscopeX,gyroscopeY,gyroscopeZ,timestamp,timestampNanos,label
-1.56,-10.01,-0.94,-0.28,-0.39999998,0.02,1770556164366,1104894633860846,WALKING_DOWNSTAIRS
-1.75,-9.76,-1.11,-0.52,-0.14999999,-0.01,1770556164396,1104894668029543,WALKING_DOWNSTAIRS
-1.43,-10.08,-1.38,-0.28,-0.14999999,-0.049999997,1770556164416,1104894688167616,WALKING_DOWNSTAIRS
-0.95,-9.969999,-1.04,-0.16,-0.03,-0.08,1770556164436,1104894708296418,WALKING_DOWNSTAIRS
-0.75,-9.66,-0.66999996,-0.21,0.08,-0.07,1770556164456,1104894728204491,WALKING_DOWNSTAIRS
-0.78999996,-9.559999,-0.94,-0.21,0.03,-0.089999996,1770556164476,1104894748209439,WALKING_DOWNSTAIRS
-1.38,-9.75,-1.9699999,-0.12,0.07,-0.16,1770556164506,1104894777840325,WALKING_DOWNSTAIRS
-1.79,-9.78,-1.75,0.0,0.16,-0.24,1770556164526,1104894797898033,WALKING_DOWNSTAIRS
-1.8299999,-9.79,-1.09,-0.02,0.04,-0.26999998,1770556164556,1104894827809023,WALKING_DOWNSTAIRS
-1.36,-9.82,-0.75,-0.03,-0.02,-0.22999999,1770556164586,1104894858056158,WALKING_DOWNSTAIRS
-0.76,-9.469999,-0.56,0.01,0.25,-0.13,1770556164626,1104894898220220,WALKING_DOWNSTAIRS
-1.13,-10.29,-2.48,0.26,0.55,-0.28,1770556169587,1104899851275533,WALKING_DOWNSTAIRS
-0.41,-17.71,-0.12,0.87,-1.41,-0.16,1770556169634,1104899901557877,WALKING_DOWNSTAIRS
-2.32,-11.78,0.01,0.66999996,-2.22,0.29999998,1770556169673,1104899945129856,WALKING_DOWNSTAIRS
-4.2,-11.4,1.25,0.57,-1.06,-0.089999996,1770556169694,1104899966024387,WALKING_DOWNSTAIRS
-4.08,-10.04,0.51,0.26,-1.4499999,0.25,1770556169733,1104900005269127,WALKING_DOWNSTAIRS
-2.6499999,-8.98,-0.099999994,0.71999997,-1.5999999,0.61,1770556169753,1104900025179440,WALKING_DOWNSTAIRS
0.01,-7.93,-0.76,0.9,-1.1899999,0.98999995,1770556169773,1104900045231731,WALKING_DOWNSTAIRS
2.8,-7.56,-1.04,0.98999995,-0.31,1.4,1770556169793,1104900065303919,WALKING_DOWNSTAIRS
4.48,-7.49,-0.93,0.95,0.02,1.62,1770556169813,1104900085070013,WALKING_DOWNSTAIRS
5.58,-7.41,-1.2099999,0.72999996,-0.45,1.4699999,1770556169833,1104900105380065,WALKING_DOWNSTAIRS
5.66,-7.39,-1.4699999,0.72999996,-0.74,1.1899999,1770556169854,1104900125564440,WALKING_DOWNSTAIRS
1.78,-8.9,-1.3299999,0.62,-0.5,0.52,1770556169875,1104900145675481,WALKING_DOWNSTAIRS
0.35,-9.94,-1.02,0.34,-0.51,0.14999999,1770556169895,1104900166063554,WALKING_DOWNSTAIRS
2.32,-10.719999,-0.95,0.16,-0.13,0.37,1770556169915,1104900185747304,WALKING_DOWNSTAIRS
5.41,-12.38,-1.02,0.16,-0.13,0.37,1770556170554,1104900825929125,WALKING_DOWNSTAIRS
0.38,-8.08,-1.8399999,-0.17,-4.39,0.45999998,1770556170580,1104900852383709,WALKING_DOWNSTAIRS
1.9,-9.2699995,0.19999999,1.1899999,-0.93,0.98999995,1770556170600,1104900872271990,WALKING_DOWNSTAIRS
0.69,-10.88,2.33,0.06,-2.6499999,1.2099999,1770556170620,1104900892266157,WALKING_DOWNSTAIRS
-0.45999998,-10.98,1.81,0.04,-4.58,0.91999996,1770556170640,1104900912314282,WALKING_DOWNSTAIRS
-0.94,-9.639999,-0.25,0.58,-4.13,0.72999996,1770556170661,1104900932964907,WALKING_DOWNSTAIRS
-1.67,-8.75,-0.69,1.27,-1.5699999,0.48,1770556170681,1104900952497459,WALKING_DOWNSTAIRS
-1.22,-8.51,-0.13,1.0799999,-1.77,0.66999996,1770556170703,1104900972718709,WALKING_DOWNSTAIRS
0.44,-8.55,0.87,0.88,-1.78,1.0,1770556170725,1104900994517875,WALKING_DOWNSTAIRS
1.22,-8.44,1.38,0.81,-1.54,0.95,1770556170761,1104901032453709,WALKING_DOWNSTAIRS
0.78,-8.429999,0.21,1.02,-1.3399999,0.83,1770556170782,1104901054318865,WALKING_DOWNSTAIRS
-0.19,-9.63,-0.98999995,1.02,-0.94,0.65999997,1770556170803,1104901072784750,WALKING_DOWNSTAIRS
1.76,-10.15,-1.3399999,0.90999997,-0.69,0.64,1770556170840,1104901112199907,WALKING_DOWNSTAIRS
2.9199998,-10.139999,-1.12,0.69,-0.71,0.83,1770556170860,1104901132200115,WALKING_DOWNSTAIRS
4.02,-10.82,-1.23,0.42,-0.59999996,0.83,1770556170880,1104901152295375,WALKING_DOWNSTAIRS
4.49,-10.67,-3.6699998,0.26,-0.61,0.7,1770556170900,1104901172202355,WALKING_DOWNSTAIRS
2.95,-10.41,-5.8799996,0.34,-0.89,0.48999998,1770556172355,1104902608267876,WALKING_DOWNSTAIRS
4.0499997,-10.5,-4.33,1.4,-2.84,1.68,1770556172393,1104902664927199,WALKING_DOWNSTAIRS
4.18,-7.14,-4.21,1.99,0.089999996,0.96999997,1770556172413,1104902684910637,WALKING_DOWNSTAIRS
4.81,-6.8799996,-2.1499999,1.89,-0.01,0.88,1770556172434,1104902706370116,WALKING_DOWNSTAIRS
1.6999999,-9.09,-0.21,0.98999995,-0.83,0.83,1770556172454,1104902725461835,WALKING_DOWNSTAIRS
-0.34,-12.79,-0.66999996,0.24,0.14,0.13,1770556172474,1104902745574439,WALKING_DOWNSTAIRS
3.32,-19.449999,-4.06,0.95,-2.6599998,-0.45,1770556172497,1104902765286053,WALKING_DOWNSTAIRS
6.25,-19.73,-2.99,-0.97999996,1.0799999,-1.2099999,1770556172517,1104902785322147,WALKING_DOWNSTAIRS
-0.71999997,-11.24,1.1,-1.0799999,1.27,-1.5699999,1770556172537,1104902805325585,WALKING_DOWNSTAIRS
-3.9499998,-8.7699995,5.15,-1.1899999,-2.27,-0.71999997,1770556172574,1104902845755324,WALKING_DOWNSTAIRS
0.62,-8.26,3.1499999,-0.39999998,-1.77,0.34,1770556172598,1104902865607407,WALKING_DOWNSTAIRS
3.3999999,-10.62,1.3199999,0.78,-0.77,0.02,1770556172619,1104902885599960,WALKING_DOWNSTAIRS
1.9699999,-11.98,1.22,0.56,-0.12,-0.08,1770556172639,1104902905615116,WALKING_DOWNSTAIRS
1.74,-10.34,-0.53,0.45999998,-0.08,0.16,1770556172674,1104902945635272,WALKING_DOWNSTAIRS
4.7599998,-9.74,-1.5899999,0.42999998,1.51,0.63,1770556172695,1104902965351678,WALKING_DOWNSTAIRS
4.7599998,-6.0299997,-2.98,0.42999998,1.51,0.63,1770556174542,1104904803296521,WALKING_DOWNSTAIRS
-0.45,-7.0099998,2.08,0.29999998,-0.089999996,0.19,1770556174588,1104904854927720,WALKING_DOWNSTAIRS
2.74,-15.83,2.4099998,0.42,-3.4299998,0.16,1770556174617,1104904888996105,WALKING_DOWNSTAIRS
3.81,-19.73,3.25,0.76,-2.6699998,0.12,1770556174638,1104904909599542,WALKING_DOWNSTAIRS
9.05,-19.73,-6.3399997,1.3399999,0.82,-0.32999998,1770556174659,1104904931456678,WALKING_DOWNSTAIRS
1.92,-10.139999,-8.29,0.68,5.87,-0.9,1770556174680,1104904949937459,WALKING_DOWNSTAIRS
1.42,-9.25,1.8299999,0.04,0.59,-0.68,1770556174728,1104904999623188,WALKING_DOWNSTAIRS
2.04,-9.01,2.19,-0.14999999,-3.3999999,1.15,1770556174757,1104905029260897,WALKING_DOWNSTAIRS
2.31,-9.559999,2.09,0.03,-2.61,1.3299999,1770556174787,1104905058936834,WALKING_DOWNSTAIRS
4.14,-11.9,0.53,0.42,-0.22999999,1.05,1770556174817,1104905088890584,WALKING_DOWNSTAIRS
3.8,-10.9,-3.48,0.62,0.68,1.02,1770556174837,1104905108940428,WALKING_DOWNSTAIRS
2.47,-9.13,-9.49,0.69,0.7,1.06,1770556174857,1104905129211678,WALKING_DOWNSTAIRS
3.24,-8.94,-1.36,0.78999996,0.77,1.05,1770556174888,1104905159216678,WALKING_DOWNSTAIRS
3.23,-8.429999,-0.71,-1.66,-0.65999997,0.74,1770556176375,1104906639603344,WALKING_DOWNSTAIRS
4.73,-7.56,-2.3799999,1.13,-0.96,1.41,1770556176411,1104906683106782,WALKING_DOWNSTAIRS
7.23,-9.63,-5.92,1.4399999,-1.5699999,1.65,1770556176431,1104906703484803,WALKING_DOWNSTAIRS
8.16,-9.07,-4.36,1.4699999,-1.68,1.2099999,1770556176451,1104906723261209,WALKING_DOWNSTAIRS
4.93,-7.98,-2.37,1.1899999,-1.77,0.71,1770556176473,1104906744711105,WALKING_DOWNSTAIRS
1.11,-7.7599998,-1.78,0.41,-1.1,-0.19999999,1770556176493,1104906763510219,WALKING_DOWNSTAIRS
-1.52,-6.97,-1.93,0.32999998,-0.9,-0.19,1770556176513,1104906784364230,WALKING_DOWNSTAIRS
-1.6999999,-5.8799996,-1.13,0.28,-0.39999998,0.26999998,1770556176533,1104906803519386,WALKING_DOWNSTAIRS
-0.56,-6.6099997,-1.15,0.34,-0.19999999,0.58,1770556176553,1104906823526469,WALKING_DOWNSTAIRS
-0.03,-7.56,-1.2099999,0.72999996,-0.61,0.71,1770556176574,1104906844389959,WALKING_DOWNSTAIRS
0.45,-10.67,-1.68,1.35,-0.32,0.64,1770556176594,1104906863442094,WALKING_DOWNSTAIRS
2.51,-12.799999,-2.8899999,1.5799999,0.58,0.62,1770556176615,1104906883775792,WALKING_DOWNSTAIRS
5.5499997,-13.57,-0.77,1.4499999,0.97999996,0.64,1770556176635,1104906903892355,WALKING_DOWNSTAIRS
4.4,-19.699999,-5.14,0.87,-1.78,0.11,1770556176671,1104906943484907,WALKING_DOWNSTAIRS
9.66,-19.73,-5.71,0.63,-1.36,-0.26,1770556176691,1104906963134438,WALKING_DOWNSTAIRS
0.03,-9.53,6.74,0.14,0.82,-0.62,1770556176711,1104906983131157,WALKING_DOWNSTAIRS
2.6499999,-13.54,1.24,-1.05,-1.4699999,-0.39,1770556182126,1104912398012092,WALKING_DOWNSTAIRS
7.0699997,-10.87,-2.12,-1.18,1.8199999,-1.4399999,1770556182158,1104912430229957,WALKING_DOWNSTAIRS
1.4399999,-12.08,-2.71,0.29999998,1.55,-2.6599998,1770556182179,1104912449479280,WALKING_DOWNSTAIRS
3.8799999,-7.43,-3.9199998,0.29999998,1.55,-2.6599998,1770556182209,1104912480595269,WALKING_DOWNSTAIRS
6.2799997,-7.2799997,-3.0,0.85999995,0.0,0.38,1770556182239,1104912510592821,WALKING_DOWNSTAIRS
5.7799997,-7.5499997,-2.46,0.97999996,-1.9599999,1.5999999,1770556182260,1104912530866311,WALKING_DOWNSTAIRS
3.4199998,-6.71,1.51,1.13,-2.6,1.9399999,1770556182280,1104912549602353,WALKING_DOWNSTAIRS
0.42999998,-3.6799998,3.81,1.13,-2.6,1.9399999,1770556182309,1104912580525686,WALKING_DOWNSTAIRS
1.81,-9.57,-2.25,2.61,-1.37,2.35,1770556182347,1104912619177822,WALKING_DOWNSTAIRS
-1.36,-12.04,-7.45,3.33,-1.15,2.6499999,1770556182368,1104912640010113,WALKING_DOWNSTAIRS
4.11,-8.25,-5.0,2.3999999,-2.9399998,1.39,1770556182407,1104912679303290,WALKING_DOWNSTAIRS
2.69,-2.59,1.75,0.89,0.02,0.53999996,1770556182447,1104912719448238,WALKING_DOWNSTAIRS
0.68,-10.63,-2.95,-0.42,-0.87,-0.08,1770556184313,1104914576301310,WALKING_DOWNSTAIRS
4.77,-5.73,-2.78,0.79999995,-0.21,1.39,1770556184351,1104914622765738,WALKING_DOWNSTAIRS
5.37,-4.8399997,-1.51,-0.29999998,0.03,0.68,1770556184371,1104914642740894,WALKING_DOWNSTAIRS
6.29,-4.72,1.6899999,-0.17,0.95,-0.03,1770556184391,1104914662745686,WALKING_DOWNSTAIRS
2.36,-6.91,1.55,0.13,2.01,-0.29,1770556184412,1104914683736415,WALKING_DOWNSTAIRS
2.28,-11.53,2.08,0.39,-1.74,-1.05,1770556184436,1104914704342977,WALKING_DOWNSTAIRS
3.4299998,-17.66,2.59,0.84,-1.9699999,-0.89,1770556184456,1104914723539956,WALKING_DOWNSTAIRS
4.16,-19.73,4.06,0.81,-1.9799999,-0.39999998,1770556184491,1104914762813081,WALKING_DOWNSTAIRS
1.3399999,-17.77,-1.64,0.65,-1.6899999,-0.099999994,1770556184512,1104914784056988,WALKING_DOWNSTAIRS
-0.17,-10.58,-2.4299998,0.98999995,-0.74,0.45,1770556184532,1104914803874071,WALKING_DOWNSTAIRS
-0.58,-10.96,-0.47,1.7099999,-1.61,0.44,1770556184553,1104914823189123,WALKING_DOWNSTAIRS
-1.37,-10.42,1.36,0.48999998,-1.49,0.45,1770556184573,1104914843229644,WALKING_DOWNSTAIRS
-2.3799999,-9.74,0.34,0.58,-1.0699999,0.51,1770556184611,1104914882959800,WALKING_DOWNSTAIRS
-1.61,-8.059999,-1.1999999,0.77,-0.35,0.65,1770556184631,1104914903159123,WALKING_DOWNSTAIRS
3.28,-8.32,-0.90999997,0.7,0.53999996,0.83,1770556184651,1104914923044748,WALKING_DOWNSTAIRS
5.97,-6.87,-0.78999996,0.56,0.71,1.22,1770556184723,1104914959044748,WALKING_DOWNSTAIRS
2.52,-9.82,-3.8999999,0.55,-0.13,0.96,1770556184762,1104914995044748,WALKING_DOWNSTAIRS
2.79,-10.88,-3.8999999,0.58,-0.74,0.28,1770556184784,1104915031557248,WALKING_DOWNSTAIRS
4.43,-10.15,-2.04,-0.32999998,-0.63,0.39,1770556184804,1104915067557248,WALKING_DOWNSTAIRS
6.0,-9.07,-1.63,-1.0,-0.14999999,0.17999999,1770556184828,1104915094247613,WALKING_DOWNSTAIRS
7.7999997,-12.55,-1.66,-1.13,-0.06,0.0,1770556184861,1104915133068394,WALKING_DOWNSTAIRS
7.9199996,-13.389999,-3.81,-1.55,-0.59,-0.42999998,1770556184881,1104915152863863,WALKING_DOWNSTAIRS
